Projeto, idProjeto, idVersao, Versao, Data, qtd_lambda, qtd_aic, qtd_maps, qtd_filter
presto, 34, 2926, 86990061254a7fafc1af7c4bc8d7248169438407, 2012-12-28 00:00:00, 0, 306, 39, 0
presto, 34, 2888, 3acd9159668af8b20b7de1f0f319e1becfee1c97, 2013-01-31 00:00:00, 0, 416, 50, 0
presto, 34, 2850, ba412d6fa635300f42c70dfdf8a0d1c140742ec2, 2013-02-28 00:00:00, 0, 458, 58, 1
presto, 34, 2811, 69914ed1a6fcc2ae2451a7aab618870c0f9e39b9, 2013-03-31 00:00:00, 0, 438, 62, 1
presto, 34, 2771, 4411c8d18cd32ebc9a9b143819ec30f5d2b4bca1, 2013-04-30 00:00:00, 0, 530, 67, 2
presto, 34, 2729, 436e8eb6b270999d1b205d7b60b9dadb673129ba, 2013-05-31 00:00:00, 0, 550, 76, 2
presto, 34, 2689, 89fa066d83d4032f3a1b11cc8b2e3d0656bfcf30, 2013-06-28 00:00:00, 0, 610, 85, 2
presto, 34, 2647, 1711247473451abd559852f6c687e159a841734b, 2013-07-28 00:00:00, 0, 610, 86, 2
presto, 34, 2599, 0c8fe3ae000ab76fa156ff1ac7d76ac29a2bb0a0, 2013-08-29 00:00:00, 0, 630, 90, 2
presto, 34, 2557, aa1a2ec7536f87478f824f7802a8a9afb3b1a1a4, 2013-09-30 00:00:00, 0, 668, 93, 3
presto, 34, 2513, 39ca3d084e2dec2ae70416f1d3d1dd57c805f7cc, 2013-10-31 00:00:00, 0, 652, 94, 3
presto, 34, 2467, 5b7278764c89c1823156c4bb71350fb0a9bede9e, 2013-11-27 00:00:00, 0, 668, 100, 3
presto, 34, 2423, ab83ad010433d2c1657e5efc4343a4ef4030b68f, 2013-12-31 00:00:00, 0, 686, 105, 3
presto, 34, 2381, 2b1924ccde822bad957eca17e192792f5105542f, 2014-01-31 00:00:00, 0, 704, 115, 3
presto, 34, 2336, 67abf615e0c2de658e8966465654535ec48b61c2, 2014-02-27 00:00:00, 0, 732, 118, 3
presto, 34, 2288, affb2e574cc3cf55a14a973d3a9bca9f688b74b1, 2014-03-31 00:00:00, 0, 762, 120, 3
presto, 34, 2240, 2a9dd14c83c0279a5343bb3eb5fa576bd288f510, 2014-04-30 00:00:00, 0, 814, 125, 3
presto, 34, 2190, da115ecf0cd54cd2a3c2b10865b4813f8f8e737c, 2014-05-30 00:00:00, 0, 820, 122, 2
presto, 34, 2147, ff89b280d867fca815a38a95fbf6f15453cdc67e, 2014-06-30 00:00:00, 0, 880, 136, 2
presto, 34, 2098, ad70d7a1c939acd038cb9a4560f05725a51299c6, 2014-07-31 00:00:00, 0, 892, 139, 2
presto, 34, 2049, 0773439d3e04bb985e2472422f5f951b056f4e4b, 2014-08-29 00:00:00, 0, 962, 146, 2
presto, 34, 1993, 8ea3a5b9364a02e16efac34a93460b1ae1c5a3e0, 2014-09-30 00:00:00, 0, 1082, 155, 2
presto, 34, 1945, cb7bbedb9804f678ce68e0d6b7aa121fe105a04b, 2014-10-31 00:00:00, 0, 1190, 158, 2
presto, 34, 1894, 4b4b87861cfac320fa9153190a5042c836b2bd41, 2014-11-27 00:00:00, 0, 1146, 166, 2
presto, 34, 1837, 81ed0629e4fa5d39b19874a8f6f2b2c86d75178d, 2014-12-30 00:00:00, 167, 544, 173, 2
presto, 34, 1778, a639aba049751e6c5b33fe522c44e2a4e4f3c33c, 2015-01-30 00:00:00, 222, 504, 170, 2
presto, 34, 1719, 25aa8d44bdd3fcc0ac95e0ffecfb9f2d17eec91d, 2015-02-27 00:00:00, 243, 482, 171, 2
presto, 34, 1655, 8b56a4c0a1654b8d59886770c42bd40a256c74fa, 2015-03-31 00:00:00, 263, 470, 170, 2
presto, 34, 1586, 6e3e2863e9969012dffea761bed83d14ba94dad7, 2015-04-30 00:00:00, 317, 418, 162, 2
presto, 34, 1521, 6e51ae2791fe1ebf4acb1ec11d598b38b42c16fe, 2015-05-30 00:00:00, 414, 420, 172, 2
presto, 34, 1454, 39c642884f30877d1e41a20187465cffb6998e4a, 2015-07-01 00:00:00, 450, 412, 170, 2
presto, 34, 1392, 95639e0285d714747301d99cbed20d8755af7054, 2015-08-01 00:00:00, 480, 404, 168, 2
