Projeto, idProjeto, idVersao, Versao, Data, qtd_lambda, qtd_aic, qtd_maps, qtd_filter
realm-java, 10, 2911, b55e8945a3a9c459ab20ebc5e64ad9b08c1398b1, 2012-12-23 00:00:00, 0, 8, 2, 0
realm-java, 10, 2873, 990bcee2f4c897053dbaed0230e298d0a3db116e, 2013-01-31 00:00:00, 0, 8, 3, 0
realm-java, 10, 2833, dc0eb768916aca39958302671b3ce4936365ae65, 2013-03-01 00:00:00, 0, 8, 3, 0
realm-java, 10, 2793, 4679762415fe7923a98ddf68341496e35185bc99, 2013-03-23 00:00:00, 0, 8, 3, 0
realm-java, 10, 2754, 13fdc16c116cd0383e52c9a2ff99ded4496a44da, 2013-04-30 00:00:00, 0, 8, 3, 0
realm-java, 10, 2712, 6c76e4235bb3e83b4b7ee8b290ef6469f672b968, 2013-05-31 00:00:00, 0, 8, 3, 0
realm-java, 10, 2672, 3a1145952d672fc430d859a86de5d48560321733, 2013-06-26 00:00:00, 0, 8, 3, 0
realm-java, 10, 2630, 59617f2446fc52a0909f203042f4d4bf49a2ec59, 2013-07-07 00:00:00, 0, 8, 3, 0
realm-java, 10, 2583, 706921d34585a97f2e39ba7ac812c7f488df56c1, 2013-08-30 00:00:00, 0, 8, 3, 0
realm-java, 10, 2541, 3c63c691bac5a0140a77386ca6ddfbc1b402ae82, 2013-09-30 00:00:00, 0, 8, 3, 0
realm-java, 10, 2496, 9dfe395c1b487e590662b474af9c5643a6c88e1f, 2013-10-31 00:00:00, 0, 8, 3, 0
realm-java, 10, 2449, 8ef6f8f39d0a53d6c2da4708286d3f986a1a81fe, 2013-11-29 00:00:00, 0, 8, 3, 0
realm-java, 10, 2405, dcd019acfdca22bf6d3b14059f15921a4c55d3ae, 2013-12-19 00:00:00, 0, 8, 3, 0
realm-java, 10, 2362, 6b0de6b9d05bdad5bb4e16d366e279355b674f08, 2014-01-31 00:00:00, 0, 8, 3, 0
realm-java, 10, 2317, 450782ee4498276093b196ac79612ca6030776cc, 2014-02-07 00:00:00, 0, 8, 3, 0
realm-java, 10, 2268, 9ad58bc9010f0a7b562f36b3cfb556ec113ae227, 2014-03-27 00:00:00, 0, 8, 3, 0
realm-java, 10, 2220, e2a059cd3f2184db5ab9fdf8a79efb8f1f6e444b, 2014-04-23 00:00:00, 0, 8, 3, 0
realm-java, 10, 2172, 4fb18d4418f1bcd068c27d70d493d749bbe40bbe, 2014-05-30 00:00:00, 0, 14, 3, 0
realm-java, 10, 2126, af62735e14a19fbde31ba567c4aa058773d00eeb, 2014-06-20 00:00:00, 0, 18, 3, 0
realm-java, 10, 2079, 8e85fe0d041cb4664574d5ca9cfbcd0978823649, 2014-07-27 00:00:00, 0, 18, 3, 0
realm-java, 10, 2028, d61ae67c63fc265b52e4ff3ce0d96ca8459f0a07, 2014-08-31 00:00:00, 0, 14, 3, 0
realm-java, 10, 1976, 909214ab8bdbcb8c84351dd0daadd47ddb663500, 2014-09-30 00:00:00, 0, 16, 1, 0
realm-java, 10, 1926, 034bd9787ccc09594d1525a2c534f357cdd6f883, 2014-11-01 00:00:00, 0, 42, 1, 0
realm-java, 10, 1872, ce0646ce877813bfb914ebe882ae0d17570c66e4, 2014-11-30 00:00:00, 0, 44, 2, 0
realm-java, 10, 1814, 9562c6fd7271642b30883357b4c90e847bfaba41, 2014-12-30 00:00:00, 0, 44, 2, 0
realm-java, 10, 1755, 7046ec1f4e7576f38282c9ab1d126323f02e0eae, 2015-01-30 00:00:00, 0, 58, 3, 0
realm-java, 10, 1694, ac3a6d10d4827fffc44f141bf52cf63c84a17b59, 2015-02-27 00:00:00, 0, 68, 6, 0
realm-java, 10, 1629, b84bd416b692d26bafff7edc24697e6ecb27d260, 2015-03-31 00:00:00, 0, 68, 6, 0
realm-java, 10, 1563, f9d260032da76566182d3aebfcc4dec91b0f83b5, 2015-04-30 00:00:00, 0, 94, 4, 0
realm-java, 10, 1498, b4eca916430b7479276bde95f4b00ca70a2f4931, 2015-05-31 00:00:00, 0, 110, 4, 0
realm-java, 10, 1432, 2dd2bd46532cfe8cf6a033f84de3fe14ec574626, 2015-07-01 00:00:00, 0, 246, 4, 0
realm-java, 10, 1369, f175e20d995d447f06ceb57f72dc6375b835fc36, 2015-07-30 00:00:00, 0, 126, 5, 0
realm-java, 10, 1306, e7c9c6b7cd3d16bccf0d7697a8768ff123a2fd9c, 2015-09-01 00:00:00, 0, 140, 5, 0
realm-java, 10, 1241, 9f35f0a433ca66d4bb128aa790ae77bd048695e5, 2015-10-02 00:00:00, 0, 424, 5, 0
realm-java, 10, 1172, a4d714d7f92fdbdbbf9b4c88825d358e98e4cb31, 2015-11-01 00:00:00, 0, 556, 5, 0
realm-java, 10, 1106, 387e2b469363f9c3c8a59ff2c650b67f0dfd4a8f, 2015-12-01 00:00:00, 0, 540, 3, 0
realm-java, 10, 1043, 86f2400c0e825875749a23552375ebdd11444757, 2015-12-30 00:00:00, 0, 1462, 3, 0
realm-java, 10, 978, 494367fb67155ed23d81297d3a8e756646750c4f, 2016-02-01 00:00:00, 0, 1116, 4, 0
realm-java, 10, 911, 9ccb6b32bc656348606ccd06ed8a24827e944dba, 2016-02-29 00:00:00, 0, 1096, 3, 0
realm-java, 10, 847, 1fc666de24ade9a12cf1691dada3a27108f2793c, 2016-04-01 00:00:00, 0, 1232, 2, 0
realm-java, 10, 783, 3b7a08ad6a8495cd18d9399a40891ee45093ecf3, 2016-05-01 00:00:00, 0, 1230, 2, 0
realm-java, 10, 716, dd626b71361407e81a4e294d700d0a3f8fce4eea, 2016-06-02 00:00:00, 0, 1320, 2, 0
realm-java, 10, 647, 3ff5741582e8bb550f66b1b4adcc925027c0dce6, 2016-07-01 00:00:00, 0, 1420, 0, 0
realm-java, 10, 581, 5c796ac44d4686f55fab318e3463547484eaad7d, 2016-08-01 00:00:00, 0, 1446, 0, 0
realm-java, 10, 512, 946a6590287186c80d0cc3bab6850fffb8d4b885, 2016-09-01 00:00:00, 0, 1450, 0, 0
realm-java, 10, 446, ccfda43bf270577af5f2c40fbf8ed30029534f13, 2016-09-30 00:00:00, 0, 1540, 1, 0
realm-java, 10, 383, ac4831f9dcc6fa8dc1c5ac3d179e56ef6881d442, 2016-11-01 00:00:00, 0, 1538, 1, 1
realm-java, 10, 319, 53aa306b1fc0200b4314c33da42a5449609d5072, 2016-12-01 00:00:00, 0, 1538, 1, 1
realm-java, 10, 255, ce130ae5bd1c448055896be1c46587b15ba74e1c, 2016-12-30 00:00:00, 0, 1540, 1, 1
