Projeto, idProjeto, idVersao, Versao, Data, qtd_lambda, qtd_aic, qtd_maps, qtd_filter
recyclerview-animators, 71, 1804, 8a359f1eab7981b486858b03b7520cfa43a950dc, 2015-01-27 00:00:00, 0, 18, 1, 0
recyclerview-animators, 71, 1744, 3250362b2fa70689ac828cee58cab64286f8a3b9, 2015-02-10 00:00:00, 0, 18, 1, 0
recyclerview-animators, 71, 1685, 071e192a007a4a3215ba0d748d04800a13dfa70a, 2015-03-23 00:00:00, 0, 22, 1, 0
recyclerview-animators, 71, 1616, e2f9ac5d53700ce3048789d368d6164dfae44b4a, 2015-04-15 00:00:00, 0, 22, 1, 0
recyclerview-animators, 71, 1483, 8e5ecf8afd14a92caa3462a2c796015250af9080, 2015-06-17 00:00:00, 0, 24, 1, 0
recyclerview-animators, 71, 1421, 9611f8cd860f490dbf76bf03526a022ff67af3f2, 2015-07-25 00:00:00, 0, 24, 1, 0
recyclerview-animators, 71, 1357, 1780d1717a6c4c046d10462f22329361eacc6204, 2015-08-19 00:00:00, 0, 24, 1, 0
recyclerview-animators, 71, 1292, d4e9cd8888619dee401c3b77afe321ba84dc7282, 2015-09-18 00:00:00, 0, 24, 1, 0
recyclerview-animators, 71, 1226, 6cc0b981a5c11a6fea63cc277c8394f0abea8e39, 2015-10-26 00:00:00, 0, 24, 1, 0
recyclerview-animators, 71, 1156, c4f8107788dca626e66334249582e4b9e27787bf, 2015-11-25 00:00:00, 0, 24, 1, 0
recyclerview-animators, 71, 1092, 672db32c775adfe11ee51521ef344828880a9507, 2015-12-16 00:00:00, 0, 24, 1, 0
recyclerview-animators, 71, 1031, dfdbb1b5808d03840c6bf209d9af4c82eea9616b, 2016-02-01 00:00:00, 0, 24, 1, 0
recyclerview-animators, 71, 962, 9bd8ea106b3bc4d7b4b6736c88a2efdafaae638c, 2016-02-28 00:00:00, 0, 26, 2, 0
recyclerview-animators, 71, 832, 81eee7898c5a11207cc46ad59d2ddc4e29df0ab6, 2016-04-19 00:00:00, 0, 26, 2, 0
recyclerview-animators, 71, 634, 9b5ae66ff795c7e7b0d089ce4e985b98ea1fff89, 2016-07-07 00:00:00, 0, 26, 2, 0
recyclerview-animators, 71, 499, d167e16f939a9d110165a1eaed09670205e154ce, 2016-09-04 00:00:00, 0, 26, 2, 0
recyclerview-animators, 71, 368, 0c6f1f47378e7a58871cc748487e2180bcdf30a9, 2016-12-01 00:00:00, 0, 26, 2, 0
recyclerview-animators, 71, 306, 563bbcde18e069fb3a55e21c449f4775eca180e2, 2016-12-04 00:00:00, 0, 26, 2, 0
recyclerview-animators, 71, 185, 0729276becf3bd4213137bca00214d3cf94865c5, 2017-02-08 00:00:00, 0, 26, 2, 0
recyclerview-animators, 71, 124, b496a294a97e6e631c290c4d8269443f8160319c, 2017-03-21 00:00:00, 0, 26, 2, 0
