Projeto, idProjeto, idVersao, Versao, Data, qtd_lambda, qtd_aic, qtd_maps, qtd_filter
spark, 44, 2932, d29f4ab7297abe4efe75f67fca1bc98ce4fbf313, 2012-12-20 00:00:00, 0, 98, 0, 1
spark, 44, 2894, 0ec130b2e01c0eae4b581d56b6505aea638ba10c, 2013-01-30 00:00:00, 0, 90, 0, 1
spark, 44, 2856, 4ae2a1978362389983147ca03fdb0118d102b095, 2013-02-26 00:00:00, 0, 94, 0, 1
spark, 44, 2816, 0be718b3b73c74e05f6c27813ed476e6133df6c4, 2013-03-31 00:00:00, 0, 128, 0, 1
spark, 44, 2777, 99aaaed33ade23b47955ac593796a036b6045883, 2013-04-26 00:00:00, 0, 134, 0, 1
spark, 44, 2737, 086eafbf2197b0c75ea4c2db32765e03775e8ce4, 2013-05-30 00:00:00, 0, 136, 0, 1
spark, 44, 2695, 49ce9ab010df7e629c50c4a1637638aed68bd4d0, 2013-06-29 00:00:00, 0, 148, 0, 1
spark, 44, 2653, 7a9c145796ed63360436ef9496b805156cd2603e, 2013-07-14 00:00:00, 0, 148, 0, 1
spark, 44, 2607, 3f9534fd4b97dd0563ed156e4c634b2d4c5f777c, 2013-08-20 00:00:00, 0, 152, 0, 1
spark, 44, 2564, 8a85fc301eb10794c3a9377bd08924f2a6ca04cd, 2013-09-09 00:00:00, 0, 152, 0, 1
spark, 44, 2520, a19594a0e9d824c61996897cf8d1efcd9da43313, 2013-10-31 00:00:00, 0, 152, 0, 1
spark, 44, 2476, 3c906ecc65d69c339ec40b94d55fcbdc1d85f597, 2013-11-05 00:00:00, 0, 152, 0, 1
spark, 44, 2430, 9787761d211075366d641470bc83e6fe601643c2, 2013-12-28 00:00:00, 0, 152, 0, 1
spark, 44, 2295, 05559794bda20ef8a8a1daed925b0d19f90ff0ba, 2014-03-23 00:00:00, 0, 156, 0, 1
spark, 44, 2248, c0ca8c64e92e13a9c1ff415fd40d212461476c01, 2014-04-15 00:00:00, 0, 160, 0, 1
spark, 44, 2198, a0dee742b3e26542881f129c2eb3355d610df41d, 2014-05-30 00:00:00, 82, 24, 1, 1
spark, 44, 2154, 095d7f6f654f05d2694fac0ef0afd8aea4ea914a, 2014-06-14 00:00:00, 82, 24, 1, 1
spark, 44, 2106, eec4896b63b56a1726603228e77d07252090d8f9, 2014-07-19 00:00:00, 82, 24, 1, 1
spark, 44, 2057, 895fb2d4ced38833493d64b6bf0e116d1f1d69d7, 2014-08-20 00:00:00, 82, 24, 1, 1
spark, 44, 2002, 804a4f6d215851ce262eb7f2c1aada5e573edeb5, 2014-09-30 00:00:00, 82, 24, 1, 1
spark, 44, 1953, ffe3b1169d49af12b10b2dbff9ee913501ffc8a8, 2014-10-14 00:00:00, 82, 24, 1, 1
spark, 44, 1903, c052b56e8f65cc67ea7de32bfdbf1e0ca2c39d6f, 2014-11-21 00:00:00, 84, 24, 1, 1
spark, 44, 1846, 4a16e0c994c7b275c9cb23024e1a5b4c7d52de2d, 2014-12-12 00:00:00, 87, 24, 1, 1
spark, 44, 1786, 31005598c32af2924c97484f632ce92e5c739ae5, 2015-01-28 00:00:00, 87, 24, 1, 1
spark, 44, 1727, f10a74e3f02ad1181c83638a8c8c48e2191c9418, 2015-02-20 00:00:00, 87, 24, 1, 1
spark, 44, 1668, 521f7e2d389c2e452015537af115cb1fcccec3dd, 2015-03-31 00:00:00, 87, 24, 1, 1
