Projeto, idProjeto, idVersao, Versao, Data, qtd_lambda, qtd_aic, qtd_maps, qtd_filter
spring-boot, 58, 2785, ec0e9b17add9bef60b2321458a56011f674de406, 2013-04-30 00:00:00, 0, 102, 10, 0
spring-boot, 58, 2746, 7e3c158f3a34dceb0c27e844ae6fcfd35747a921, 2013-05-31 00:00:00, 0, 176, 13, 0
spring-boot, 58, 2703, 56bfa30b2ce20ff43d7c19f514b2e5e26ce754a3, 2013-06-20 00:00:00, 0, 182, 17, 0
spring-boot, 58, 2662, 1c34fb5ed30b938f5554229c0233aa17711cb8f7, 2013-07-31 00:00:00, 0, 212, 22, 0
spring-boot, 58, 2618, 1ff76459db50a96e4451f3f278aec870a8430bc9, 2013-08-12 00:00:00, 0, 232, 19, 0
spring-boot, 58, 2572, 1bdb2ce1c2507da66ecdaa7d42f2be384c50929e, 2013-09-30 00:00:00, 0, 256, 20, 0
spring-boot, 58, 2529, 63a2d06767f671a1ea3202942f12ab41190dfc45, 2013-10-31 00:00:00, 0, 270, 22, 0
spring-boot, 58, 2486, 2104d9a1e2609065502324ba7c42fb02b7957efc, 2013-11-29 00:00:00, 0, 290, 27, 0
spring-boot, 58, 2439, 045088e8b349960b791ee06fe7cae416b1097b4b, 2013-12-31 00:00:00, 0, 338, 41, 0
spring-boot, 58, 2395, 643295cc3c5e5c656c9ca2d2662a497d6c517d9b, 2014-01-31 00:00:00, 0, 390, 46, 0
spring-boot, 58, 2352, 3f125fb840608091ced10bcf71ddda6bab7ec0fb, 2014-02-28 00:00:00, 0, 402, 49, 0
spring-boot, 58, 2306, a0b422ed4f14120f95b27ff9d6f2f92a8e5fd9a5, 2014-03-31 00:00:00, 0, 330, 48, 0
spring-boot, 58, 2256, f53ee406c12337cc172a1c7a81b504ad3d12a304, 2014-04-30 00:00:00, 0, 342, 52, 0
spring-boot, 58, 2208, c719ab7aeeed8d3b8fe2c6d02fb3170e85346351, 2014-05-31 00:00:00, 0, 366, 60, 1
spring-boot, 58, 2161, 54849f83c4d70da475768a9db38b9df5b6aa8fa5, 2014-06-30 00:00:00, 0, 396, 63, 2
spring-boot, 58, 2114, 67ba66dc4c02f6172a057840473788df9a1e0523, 2014-07-31 00:00:00, 0, 380, 66, 2
spring-boot, 58, 2067, 53c4859a6a20a2484ca19abc239716eb1e3e410e, 2014-08-29 00:00:00, 0, 432, 68, 2
spring-boot, 58, 2015, bfb387bc025afa085545dae8cd10af907fb56597, 2014-09-30 00:00:00, 0, 444, 70, 2
spring-boot, 58, 1964, 49fbf215a153e49b9a507ca11969608ec9de9bf0, 2014-10-31 00:00:00, 0, 442, 76, 2
spring-boot, 58, 1916, 20bb9c030504a24187ca72ade3285d86350b8cc0, 2014-11-28 00:00:00, 0, 460, 78, 1
spring-boot, 58, 1858, ad69a1aec9db41656c021910ba0a9256525dcad0, 2014-12-31 00:00:00, 0, 470, 81, 1
spring-boot, 58, 1800, 763a735bd57afb85442f0bc6705acaaf8214b9f0, 2015-01-29 00:00:00, 0, 488, 70, 1
spring-boot, 58, 1742, 3048f44a964ab2390dff26f0818c941ba40bdc56, 2015-02-26 00:00:00, 0, 488, 72, 1
spring-boot, 58, 1682, 3b99ba9d61b207679f8c31616c79d7b01b7e5a84, 2015-03-31 00:00:00, 0, 500, 73, 1
spring-boot, 58, 1613, 0f62f05cdcf9913bb1cee3841d90378b92b77e33, 2015-04-30 00:00:00, 0, 504, 74, 1
spring-boot, 58, 1548, 8a83bd12bd9d57fbadbe006bfd574020ca648598, 2015-05-31 00:00:00, 0, 598, 73, 1
spring-boot, 58, 1480, b1f8a692a872eaaaa69a133855d60669cf85fcdc, 2015-07-01 00:00:00, 0, 638, 79, 1
spring-boot, 58, 1419, 6d2af95d5925d7e9fb2947e13b60875067ff8133, 2015-07-31 00:00:00, 0, 654, 82, 1
spring-boot, 58, 1354, 2b3d419e1023bf818443da55990e6c47c4b70016, 2015-09-01 00:00:00, 0, 662, 84, 1
spring-boot, 58, 1289, 5cbb81c64f16839f9f853d559e2fffe45b391b42, 2015-10-01 00:00:00, 0, 674, 88, 1
spring-boot, 58, 1222, 2cfb6fe0f5058a2ef2bf0c2f317b428e69f4bc2f, 2015-11-01 00:00:00, 0, 696, 91, 1
spring-boot, 58, 1154, 4260b0c765f956f13553c1ca56368b4b010523c2, 2015-12-01 00:00:00, 0, 708, 92, 1
spring-boot, 58, 1090, 95109381203944c6b15bc74fe7952fb116ce08fc, 2015-12-30 00:00:00, 0, 710, 98, 1
spring-boot, 58, 1028, acbb4e63f21777fca5b879095d5559d20fc54cbc, 2016-01-29 00:00:00, 0, 728, 98, 1
spring-boot, 58, 958, 355860fd0970943e8e52a73bb8f9467f8e71f3e3, 2016-03-01 00:00:00, 0, 748, 96, 1
spring-boot, 58, 894, 1d4f38e4408ebcfee01cec1c287473a73ddf1158, 2016-04-01 00:00:00, 0, 790, 107, 1
spring-boot, 58, 829, cfbe28fc8f89fc88dbd9fa68d4cc8d2e0410ceec, 2016-04-30 00:00:00, 0, 814, 105, 1
spring-boot, 58, 767, ce68fdf5158dcd33203e9c0f99f860a73c24bc52, 2016-06-01 00:00:00, 0, 832, 107, 1
spring-boot, 58, 696, 8ce85ffb3d13b53a03b0525c5748a262f22e5ea0, 2016-07-01 00:00:00, 0, 848, 108, 1
spring-boot, 58, 630, 9cb95f423c9b62181d11b20ed20a08e929eea0a4, 2016-07-31 00:00:00, 0, 854, 111, 1
spring-boot, 58, 566, 65b4f61a35eec5f9ae50434409160775fed27f90, 2016-09-01 00:00:00, 0, 854, 112, 1
spring-boot, 58, 496, df9fb51a9226c3a4737bda260f307f4455ea7319, 2016-10-01 00:00:00, 0, 834, 116, 1
spring-boot, 58, 429, 7c3d7d882aa4695c911dba527af425c4f795bf42, 2016-11-01 00:00:00, 0, 832, 117, 1
spring-boot, 58, 365, 816c236e5b95a575c66b938eff8aa958aee1813f, 2016-12-01 00:00:00, 0, 850, 122, 0
spring-boot, 58, 303, e1eb48e8b461db1c3aed745884184adce8d6113b, 2016-12-30 00:00:00, 0, 888, 122, 0
spring-boot, 58, 242, 10ca22082b031b6edc5e6d6def05da76425924f9, 2017-02-01 00:00:00, 2, 904, 127, 0
spring-boot, 58, 182, a638401cb5be7880ec1ad1db2087cda16e1bb937, 2017-03-01 00:00:00, 15, 918, 130, 0
spring-boot, 58, 121, 4b42e68aa6799fbee236c9b8387937b5fd5f6b2a, 2017-04-01 00:00:00, 22, 906, 132, 0
spring-boot, 58, 58, d6099bafa35b53e4e01a51aa7fa9414c3845e144, 2017-04-28 00:00:00, 104, 888, 130, 0
