Projeto, idProjeto, idVersao, Versao, Data, qtd_lambda, qtd_aic, qtd_maps, qtd_filter
spring-framework, 24, 2920, 38f84fa03ed9ca35750bb76303f94dd2dd8abfc2, 2012-12-31 00:00:00, 0, 4000, 126, 9
spring-framework, 24, 2882, 4849205c6ab3ee0492c6e2def2eccc4ed75a2f59, 2013-01-31 00:00:00, 0, 4034, 115, 9
spring-framework, 24, 2843, 9929182e30a39e86854c7ce02bcffa66d04ee0e2, 2013-02-28 00:00:00, 0, 4062, 113, 9
spring-framework, 24, 2803, db3bbb5f8cb945b8f29fbd83aff9bbd2dbc70e1c, 2013-03-29 00:00:00, 0, 3502, 113, 9
spring-framework, 24, 2764, 46bcffcf30d5de9a149337e1421d5df26bf2ef7d, 2013-04-30 00:00:00, 0, 3532, 115, 9
spring-framework, 24, 2722, ae74a2158a5df9de3ac1fb4b6309b053bbd4ed27, 2013-05-31 00:00:00, 0, 3528, 118, 9
spring-framework, 24, 2681, 8ab5f23643fffc50e5e138300e3fe448498293ad, 2013-06-29 00:00:00, 0, 3540, 125, 9
spring-framework, 24, 2640, dcf7813de84267fb82aed351a8175e89ae7fedd8, 2013-07-31 00:00:00, 0, 3566, 129, 12
spring-framework, 24, 2592, fcd32bc5f584332568f829a54cb1740e79e40b06, 2013-08-29 00:00:00, 0, 3604, 130, 12
spring-framework, 24, 2549, 02cb86659d13d41c1f7d9b7e8866284f26616a02, 2013-09-30 00:00:00, 0, 3692, 131, 12
spring-framework, 24, 2505, a32b94f85da6fd7240dc4e8f49e77eac84f10957, 2013-10-31 00:00:00, 0, 3758, 147, 10
spring-framework, 24, 2459, b0b40dade132577533bfbab34dbe8e03d9c613b6, 2013-11-26 00:00:00, 0, 3766, 148, 10
spring-framework, 24, 2415, f0d21510f56243f5c0b12649c059fe791b3decf1, 2013-12-30 00:00:00, 0, 3800, 148, 11
spring-framework, 24, 2372, da369aa8266c96d2fea635e39d5b5145b9e3d2ec, 2014-01-31 00:00:00, 0, 4086, 154, 11
spring-framework, 24, 2327, 5d4ed4efe5598aa966b658bfbface0419d1f676c, 2014-02-28 00:00:00, 0, 4106, 154, 11
spring-framework, 24, 2279, 5fe8f52c02e56f8704e5c00a8d17e4f32b5176c3, 2014-03-31 00:00:00, 0, 4116, 151, 11
spring-framework, 24, 2232, a653c067112881428990ad1f535445838a25df55, 2014-05-01 00:00:00, 0, 4204, 153, 11
spring-framework, 24, 2183, c9d0ebd730953ef693edf275b57cfeeb9bf15af9, 2014-05-30 00:00:00, 0, 4278, 153, 11
spring-framework, 24, 2139, 37ba1b966ee164ada46866e800bde317a238b4d7, 2014-06-30 00:00:00, 3, 4318, 155, 13
spring-framework, 24, 2091, 25decee1a4873275de039d3cad6affd64edb41d6, 2014-07-31 00:00:00, 27, 4340, 161, 13
spring-framework, 24, 2041, ede97d99ea098d2865d564775f7902a64be3a675, 2014-09-01 00:00:00, 29, 4334, 160, 13
spring-framework, 24, 1987, 20a8416c2e94efba3e6fa72de1b3d3618d063529, 2014-10-01 00:00:00, 37, 4326, 162, 13
spring-framework, 24, 1938, cfa3d358d5836bcfaad1f6ce9287ccf78ad7740f, 2014-10-31 00:00:00, 37, 4424, 166, 13
spring-framework, 24, 1884, efb114d49ab4a477cf8cdc9487da7f2ea0ea1379, 2014-11-29 00:00:00, 37, 4430, 168, 13
spring-framework, 24, 1828, a79fe25917e38b0bf8ae1f11a80b22987e3be2df, 2014-12-31 00:00:00, 37, 4430, 174, 13
spring-framework, 24, 1768, a32b5e61d0b5dff9c09cc3c7d7b8e5e68ac69ae5, 2015-01-29 00:00:00, 37, 4434, 174, 13
spring-framework, 24, 1709, e24a7ded620b74110141bc6d4a80ae86c74c157b, 2015-02-28 00:00:00, 52, 4454, 174, 13
spring-framework, 24, 1645, 3a8a28beecc7aa0a4df6f47072fe806dd00e5cfc, 2015-03-31 00:00:00, 65, 4500, 179, 13
spring-framework, 24, 1577, 7891c0d5ca208ef4f123f2dfa92cd13e6cb25042, 2015-04-30 00:00:00, 67, 4498, 179, 14
spring-framework, 24, 1513, 81844191f837036caf826383b7d843941e9b0a8b, 2015-05-31 00:00:00, 78, 4806, 187, 14
spring-framework, 24, 1446, 0aac02d6496865dc987c60bf8fcf7b65eeb41801, 2015-07-01 00:00:00, 76, 4816, 187, 14
spring-framework, 24, 1383, a3f39d52570b97d31b9ab7cf9d118bbbaef0fd3e, 2015-08-01 00:00:00, 106, 4722, 193, 14
spring-framework, 24, 1321, d32ba954dc198638b501e94581d0c0f50ef05551, 2015-09-01 00:00:00, 126, 4756, 193, 14
spring-framework, 24, 1254, 49fc32e2144903704f44a6cc9d7f78e80dfc2e1e, 2015-10-01 00:00:00, 32, 14, 3, 2
spring-framework, 24, 1185, 4aedd92c3c9cea5f25f0d7b57ae2e00a91a0565d, 2015-11-01 00:00:00, 138, 4746, 193, 14
spring-framework, 24, 1120, 382c98f9680fab9a0c2ad50de18e3385f9cba5c1, 2015-12-01 00:00:00, 48, 12, 4, 0
