Projeto, idProjeto, idVersao, Versao, Data, qtd_lambda, qtd_aic, qtd_maps, qtd_filter
storm, 97, 2944, 9420e7e57f618a0132d826942e1018900537f67a, 2012-12-24 00:00:00, 0, 160, 32, 1
storm, 97, 2907, 28193d608a2089241c348d09a522cfbc2bd19379, 2013-01-25 00:00:00, 0, 160, 33, 1
storm, 97, 2868, af2c7937ec965b101b5511f453c909500a635ee4, 2013-02-27 00:00:00, 0, 160, 33, 1
storm, 97, 2828, a97743bd0249866c63c2eadd910205bea54588e0, 2013-03-31 00:00:00, 0, 170, 34, 1
storm, 97, 2788, 7d4d1608f35a9c20c626afefb1e7d8ba7c70e1f4, 2013-04-30 00:00:00, 0, 170, 34, 1
storm, 97, 2749, b20ea50281e122092e2256c1b0853f18521aa4d5, 2013-05-29 00:00:00, 0, 174, 34, 1
storm, 97, 2706, 97f5fae27d4f67b89a282609d00444cc9993305d, 2013-06-25 00:00:00, 0, 174, 34, 1
storm, 97, 2667, 7f10c1ee8fc707dc0dc577c2063a794207db26dd, 2013-07-31 00:00:00, 0, 176, 34, 1
storm, 97, 2623, b8f40558dc050c0da005e745f138d912c7b4d781, 2013-08-29 00:00:00, 0, 176, 34, 1
storm, 97, 2576, 504b552a2b718a55994977684c1e35e88c458884, 2013-09-30 00:00:00, 0, 176, 34, 1
storm, 97, 2534, c3db9162ab26ae001beed0b9d1910a5e94e22056, 2013-10-24 00:00:00, 0, 176, 34, 1
storm, 97, 2490, eb45818f453fbbcef610df757edc21ddbc67f5de, 2013-11-27 00:00:00, 0, 176, 34, 1
storm, 97, 2443, cdb116e942666973bc4eaa0df098d5bab82739e7, 2013-12-13 00:00:00, 0, 176, 34, 1
