Projeto, idProjeto, idVersao, Versao, Data, qtd_lambda, qtd_aic, qtd_maps, qtd_filter
zipkin, 9, 1239, b6a056ae3250fee8dac75c8ee4be7bca7e51b535, 2015-09-27 00:00:00, 30, 0, 0, 0
zipkin, 9, 1169, ebb3aad2f650360fe447c75d1fafe135593a4c12, 2015-10-30 00:00:00, 24, 2, 1, 0
zipkin, 9, 1103, d5eb1e192aec20e649a2b0373f4d92d8d935f3af, 2015-11-22 00:00:00, 25, 2, 1, 0
zipkin, 9, 1040, df14a5ed3d7f9b89126a5e28aab075842327fdc3, 2015-12-28 00:00:00, 23, 2, 2, 0
zipkin, 9, 975, 3747253a266cf07b92381ee980caa87b5fe1772d, 2016-01-25 00:00:00, 24, 2, 2, 0
zipkin, 9, 909, 9dc6c8b8b750b0b306b444cd8bc1dedaa63fe5b6, 2016-03-01 00:00:00, 11, 4, 2, 0
zipkin, 9, 844, ee017d8a8bee21ee07cceaf842b3bfa49879b3cf, 2016-04-01 00:00:00, 42, 40, 24, 0
zipkin, 9, 781, 8e0c1adde3368e09fdd18e6664c5787539447b6f, 2016-05-01 00:00:00, 85, 56, 27, 0
zipkin, 9, 714, d784744ef0110dd040d0c9cd93eca4c2ac61f3a5, 2016-06-01 00:00:00, 74, 88, 24, 0
zipkin, 9, 645, acc688e066223d31e8a6aae9c3ea967a1ab82570, 2016-07-01 00:00:00, 78, 88, 24, 0
zipkin, 9, 579, 417bbef2fe30c631efb3a0e62f78d64acfdb3b7d, 2016-07-31 00:00:00, 92, 98, 31, 0
zipkin, 9, 511, 2891e193c95cc4d779ee51a7b86114387a23d90b, 2016-09-01 00:00:00, 93, 98, 31, 0
zipkin, 9, 444, b03ea32667f496287633b56814c557dabb28e7ce, 2016-10-01 00:00:00, 113, 158, 61, 0
zipkin, 9, 381, 3e2365a3b330f4add2741801d07d5139fb52eff6, 2016-11-01 00:00:00, 116, 158, 58, 0
zipkin, 9, 318, 827a14bda8f13fda3ce87f7ed1b39fce1e479ba8, 2016-11-30 00:00:00, 115, 182, 52, 0
zipkin, 9, 254, df816e6430507ef51c8f6e0a0bd61331ffc5dab6, 2016-12-30 00:00:00, 140, 156, 58, 0
zipkin, 9, 198, 3de6c0470ce260be350dca6ed512fbefc4f519c7, 2017-02-01 00:00:00, 145, 162, 59, 0
zipkin, 9, 139, 4624229c5f6023c0fb9751ac2b49fccf36b9f76a, 2017-02-15 00:00:00, 156, 166, 61, 0
zipkin, 9, 74, 9b7bc2d8632bba281c1087e794f50a5f3cbc22f8, 2017-03-31 00:00:00, 154, 134, 55, 0
zipkin, 9, 9, d770f31852a6f7c1b7ea08044a192e56ff05da6e, 2017-04-28 00:00:00, 156, 138, 55, 0
